Points_0,Points_1,Points_2,Points_Magnitude,Point ID
-0.889144,-0.878975,1.95638,2.32177,382
-0.888554,-0.879819,1.95657,2.32202,383
-0.887918,-0.880562,1.95674,2.32221,384
-0.887155,-0.881175,1.95689,2.32227,385
-0.886668,-0.881487,1.95697,2.32227,386
-0.885787,-0.881924,1.95709,2.3222,387
-0.885332,-0.882089,1.95713,2.32213,388
-0.884313,-0.882158,1.9572,2.32182,389
-0.883299,-0.881933,1.9572,2.32135,390
-0.882309,-0.881524,1.95718,2.3208,391
-0.881923,-0.881311,1.95715,2.32055,392
-0.88133,-0.880573,1.95705,2.31996,393
-0.881172,-0.879567,1.9576,2.31998,394
-0.881111,-0.878575,1.95742,2.31943,395
-0.88121,-0.877508,1.95723,2.3189,396
-0.881346,-0.876613,1.95706,2.31847,397
-0.881421,-0.875611,1.95687,2.31796,398
-0.88151,-0.874633,1.9567,2.31748,399
-0.881663,-0.874125,1.9566,2.31726,400
-0.881824,-0.873784,1.95654,2.31714,401
-0.882395,-0.873001,1.95637,2.31692,402
-0.883123,-0.8724,1.95623,2.31686,403
-0.884031,-0.871921,1.95609,2.31691,404
-0.885004,-0.871696,1.956,2.31712,405
-0.885782,-0.871699,1.95597,2.31739,406
-0.886762,-0.871836,1.95595,2.3178,407
-0.887614,-0.8722,1.95598,2.31828,408
-0.888088,-0.872552,1.956,2.31862,409
-0.888797,-0.873286,1.9561,2.31925,410
-0.889257,-0.873766,1.95616,2.31966,411
-0.889833,-0.874585,1.95628,2.32029,412
-0.89001,-0.874909,1.95633,2.32052,413
-0.890269,-0.875629,1.95646,2.321,414
-0.890314,-0.876607,1.95663,2.32153,415
-0.89003,-0.877691,1.95682,2.32199,416
-0.889434,-0.878825,1.95705,2.32239,417
-0.888741,-0.879756,1.95725,2.32264,418
-0.888079,-0.880544,1.95745,2.32285,419
-0.887326,-0.881207,1.95759,2.32294,420
-0.886808,-0.881539,1.95768,2.32294,421
-0.885918,-0.88193,1.95779,2.32284,422
-0.885334,-0.88207,1.95784,2.32272,423
-0.884337,-0.882046,1.95789,2.32237,424
-0.883289,-0.881796,1.95789,2.32188,425
-0.882379,-0.881351,1.95785,2.32133,426
-0.88205,-0.881142,1.95783,2.3211,427
-0.881439,-0.880399,1.95773,2.3205,428
-0.882135,-0.880993,1.95851,2.32166,429
-0.881706,-0.880508,1.95845,2.32125,430
-0.881577,-0.880227,1.95841,2.32106,431
-0.881295,-0.879255,1.95825,2.32045,432
-0.881242,-0.878435,1.95811,2.32,433
-0.881335,-0.877377,1.95791,2.31948,434
-0.881415,-0.876924,1.95783,2.31926,435
-0.881491,-0.875952,1.95765,2.31877,436
-0.881487,-0.875488,1.95756,2.31852,437
-0.88157,-0.87453,1.95738,2.31804,438
-0.881656,-0.87397,1.95728,2.31778,439
-0.881791,-0.873589,1.95721,2.31763,440
-0.882359,-0.87281,1.95705,2.31741,441
-0.883075,-0.872151,1.9569,2.31731,442
-0.883896,-0.871632,1.95677,2.31731,443
-0.884832,-0.871341,1.95667,2.31748,444
-0.885971,-0.871273,1.9566,2.31783,445
-0.886818,-0.871373,1.95656,2.31816,446
-0.887744,-0.871727,1.95659,2.31868,447
-0.888586,-0.872442,1.95667,2.31933,448
-0.888849,-0.872705,1.95671,2.31956,449
-0.889537,-0.87343,1.95679,2.32017,450
-0.890129,-0.874218,1.95691,2.3208,451
-0.890553,-0.875465,1.95712,2.3216,452
-0.890579,-0.876445,1.9573,2.32213,453
-0.890283,-0.87752,1.95749,2.32259,454
-0.889698,-0.878669,1.95773,2.323,455
-0.889534,-0.878943,1.95779,2.32309,456
-0.888924,-0.879741,1.95796,2.3233,457
-0.8883,-0.880528,1.95815,2.32352,458
-0.887455,-0.881186,1.95829,2.32357,459
-0.886913,-0.881538,1.95838,2.32357,460
-0.886031,-0.881908,1.9585,2.32347,461
-0.885368,-0.882007,1.95854,2.3233,462
-0.884378,-0.881923,1.95858,2.32291,463
-0.883328,-0.881655,1.95858,2.32241,464
-0.882419,-0.881174,1.95853,2.32185,465
-0.920324,-0.882723,1.95695,2.33578,466
-0.881483,-0.879407,1.95898,2.3212,467
-0.881414,-0.879047,1.95892,2.32099,468
-0.881417,-0.877839,1.95871,2.32035,469
-0.881474,-0.877226,1.95859,2.32004,470
-0.881528,-0.87681,1.95851,2.31984,471
-0.881572,-0.875828,1.95833,2.31933,472
-0.881574,-0.875369,1.95824,2.31909,473
-0.88158,-0.874923,1.95816,2.31885,474
-0.881688,-0.873826,1.95797,2.31831,475
-0.881792,-0.87345,1.95789,2.31815,476
-0.882314,-0.872598,1.95772,2.31788,477
-0.883008,-0.871903,1.95756,2.31775,478
-0.883819,-0.871363,1.95743,2.31774,479
-0.884774,-0.871012,1.95731,2.31788,480
-0.885866,-0.870883,1.95724,2.31819,481
-0.886859,-0.87096,1.9572,2.31856,482
-0.88782,-0.871258,1.95721,2.31905,483
-0.888712,-0.871981,1.9573,2.31973,484
-0.889225,-0.872492,1.95735,2.32017,485
-0.88979,-0.873108,1.95744,2.32069,486
-0.890375,-0.873906,1.95755,2.32131,487
-0.8906,-0.874392,1.95764,2.32165,488
-0.890827,-0.875294,1.95779,2.32221,489
-0.890832,-0.876297,1.95795,2.32273,490
-0.890551,-0.877324,1.95815,2.32317,491
-0.890192,-0.878032,1.95828,2.32342,492
-0.889656,-0.878891,1.95848,2.3237,493
-0.88907,-0.879678,1.95865,2.32392,494
-0.888423,-0.880468,1.95883,2.32412,495
-0.887601,-0.881156,1.959,2.32421,496
-0.887012,-0.881533,1.95909,2.32421,497
-0.886091,-0.881872,1.95919,2.32407,498
-0.885407,-0.881939,1.95924,2.32387,499
-0.884391,-0.88181,1.95926,2.32346,500
-0.883432,-0.881492,1.95926,2.32296,501
-0.882477,-0.880974,1.9592,2.32236,502
-0.919911,-0.880501,1.95728,2.33505,503
-0.920197,-0.881468,1.95744,2.33566,504
-0.920273,-0.882047,1.95755,2.336,505
-0.920307,-0.882597,1.95764,2.3363,506
-0.881591,-0.879291,1.95967,2.32178,507
-0.881509,-0.878915,1.9596,2.32155,508
-0.881485,-0.877771,1.9594,2.32093,509
-0.881573,-0.877106,1.95928,2.32061,510
-0.88175,-0.876063,1.95908,2.32012,511
-0.88173,-0.875732,1.95902,2.31994,512
-0.881646,-0.874734,1.95884,2.31938,513
-0.881724,-0.873699,1.95865,2.31886,514
